EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-71500046	IDR-App-01-08, 00012	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500047	IDR-App-01-08, 00013	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500048	IDR-App-01-08, 00014	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500049	IDR-App-01-08, 00015	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500050	IDR-App-01-08, 00016	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500051	IDR-App-01-08, 00017	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500052	IDR-App-01-08, 00018	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500053	IDR-App-01-08, 00019	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500054	IDR-App-01-08, 00020	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII [G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500055	IDR-App-01-08, 00021	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII [G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500056	IDR-App-01-08, 00022	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII [G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
