EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-03300743	"Legio-VII 00006 = AE 1995, 01231"	Dalmatia	Trilj / Tilurium	1	40	milites; praenomen et nomen; tituli sepulcrales; viri	"L(ucius) Attius <L=I>(uci) <f=E>(ilius) Sergi(a) / Augusta / an(norum) XXX st(ipendiorum) VIII / mil(es) leg(ionis) VII / h(ic) s(itus) es(t)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD040156 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD040156	43.617857	16.7286894			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00006.jpg
EDCS-03300744	"Legio-VII 00042 = AE 1995, 01232"	Dalmatia	Trilj / Tilurium	1	42	carmina; liberti/libertae; milites; nomen singulare; praenomen et nomen; tituli sepulcrales; tria nomina; viri	L(ucius) Mummius L(uci) / f(ilius) Fab(ia) Ancyra / miles leg(ionis) VII / ann(orum) XXXVI / stipend(iorum) XVI / h(ic) s(itus) e(st) // Arma bis octonis felicia qui tulit annis / hic situs est fato Mummius ipse suo / si sapiunt obiti data munera percipis am(pla) / et recipis nostrae pignus amicitiae / hoc tibi cum titulo posuit / Cornelius Chrestus / et dixit lachrymans sit tibi ter(r)a levis // M(arcus) Cornelius M(arci) l(ibertus) / Chrestus posuit	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD040157;m|appe|101 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD040157	43.617857	16.7286894			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00042.jpg;$AE_1995_01232_1.jpg;$AE_1995_01232_2.jpg
EDCS-28300004	"CIL 03, 02678 = CIL 03, 09699 = Legio-VII 00067"	Dalmatia	Trogir / Tragurium	101	150	milites; mulieres; tituli sepulcrales; tria nomina; viri	Dis Manibus / sacrum / C(aius) V(ibius) C(ai) f(ilius) Pom<p=I>t(ina) / Pedes dom(o) Arret(io) / |(centurio) leg(ionis) VII C(laudiae) P(iae) F(idelis) viv<u=O>s fec(it) / sibi et Iuliae C(ai) f(iliae) Pollae / uxori	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058437 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058437	43.516687	16.2499724			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00067.jpg
EDCS-30000205	"CIL 03, 09711 (p 1475) = Legio-VII 00077"	Dalmatia	Trogir / Tragurium	9	56	milites; mulieres; tituli sepulcrales; tria nomina; viri	Rutilia [3] / v(iva) f(ecit) sibi et Ar[3] / Tusco patri mil(iti) / leg(ionis) VII et A[3] / Primioni f[ilio] / et Rutiliae Fes[tae(?)] / defunctae	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058594 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058594	43.516687	16.2499724			
EDCS-30301374	"CIL 03, 09864a (p 2165, 2270) = D 05950 = AHB p 317 = Legio-VII 00097 = Grbic 00050"	Dalmatia	Vagan	40	41	Augusti/Augustae; milites; ordo senatorius; termini; tria nomina; viri	"L(ucius) Arruntius / Cami[ll]us Scri/b[o]nia[n]us le[g(atus)] pro / pr(aetore) C(ai) [C]ae[s]aris Aug(usti) / Germanici iudicem / dedit M(anium) Coelium |(centurionem) / leg(ionis) VII inter Sapuates / e[t La]matinos(?) ut fines / [reg]eret et termin<o=V>s po[n(eret)]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0073606;HD053672;de_21dessuoft%23page/466/mode/2up | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD053672 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0073606	44.1539086	17.1746449			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$CIL_03_09864a.jpg
EDCS-30000209	"CIL 03, 09712 (p 1475) = Legio-VII 00065"	Dalmatia	Veli Bijac / Bijaci / Bijaca / Siculi	9	100	milites; mulieres; praenomen et nomen; tituli sepulcrales; viri	"L(ucius) Vegnonius / L(uci) f(ilius) vet(eranus) leg(ionis) V[II] / [d]om(o) Florent[ia] / [Tr]opaena F[a]/[br]icia se vi[va] / [si]bi et vir[o] / <f=E>(ecit) / hic s(itus) est
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0049866;HD058602 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058602 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0049866	43.5555172	16.2982386			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00065.jpg;$PF_CIL_03_09712.jpg
EDCS-55300298	"Legio-VII 00040 = Dodig-2003, 00004"	Dalmatia	Veljaci / Bigeste	42	100	tituli sepulcrales; tria nomina; viri	L(ucius) Marcilius / C(ai) [f(ilius) do]mo Pe/[ssin(unte?) 3 leg(ionis) V]II / C[l(audiae) P(iae) F(idelis) 3] / [6] / C(aius) M[arcilius(?)		43.2362774	17.4433546			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00040.jpg;$Dodig-01_00004_1.jpg;$Dodig-01_00004_2.jpg
EDCS-26600673	"CIL 03, 01813 (p 1494) = CINar-01, 00032 = Legio-VII 00016"	Dalmatia	Vid / Narona	1	40	liberti/libertae; milites; nomen singulare; praenomen et nomen; tituli sepulcrales; viri	"M(arcus) Heredius M(arci) f(ilius) Pal(atina) / veteranus leg(ionis) VII / h(ic) s(itus) est fecit / Faustus l(ibertus)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD051071;lu_21445 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD051071	43.0804139	17.6258524			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00016.jpg;pp
EDCS-27500114	"CIL 03, 01814 (p 1494) = Legio-VII 00030"	Dalmatia	Vid / Narona	42	200	liberti/libertae; milites; mulieres; tria nomina; viri	"P(ublius) Lastus A(uli) f(ilius) Scaeva / domo Florentia / eques vet(eranus) leg(ionis) VII C(laudiae) P(iae) F(idelis) / annor(um) LX stip(endiorum) XXX et Lastae / P(ubli) l(ibertae) Apiculae P(ublio) Lasto Felici / P(ublio) Lasto Diodoro lib(erto) t(estamento) f(ieri) i(ussit)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD053442 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD053442	43.0804139	17.6258524			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00030.jpg
EDCS-27500162	"CIL 03, 01818 = Legio-VII 00052"	Dalmatia	Vid / Narona	1	50	milites; mulieres; praenomen et nomen; tituli sepulcrales; viri	L(ucius) Riccius L(uci) f(ilius) Vel(ina) / Pessinunte ann(orum) LX vet(eranus) / Marcia Maxima uxor / L(ucius) Riccius L(uci) f(ilius) Valens / L(ucius) Riccius L(uci) f(ilius) Gallus / Riccia L(uci) [f(ilia)] Bulla / h(ic) s(iti) s(unt) / L(ucius) Atilius L(uci) f(ilius) Vel(ina) veter(anus) leg(ionis) VII / avunculo suo posuit et sibi	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD053445 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD053445	43.0804139	17.6258524			
